,nameLast,nameGiven,height-plus-weight
527,Aurilia,Richard Santo,242.0
528,Ausanio,Joseph John,278.0
529,Ausmus,Bradley David,261.0
530,Aust,Dennis Kay,251.0
531,Austin,Henry C.,
532,Austin,Jeffrey Wellington,257.0
533,Austin,James Philip,222.0
534,Austin,James Parker,274.0
535,Austin,Rick Gerald,266.0
536,Austin,Christopher Tyler,294.0
537,Autry,Albert,302.0
538,Autry,William Askew,239.0
539,Autry,Martin Gordon,252.0
540,Aven,David Bruce,249.0
541,Averill,Howard Earl,241.0
542,Averill,Earl Douglas,255.0
543,Avery,Steven Thomas,256.0
544,Avery,Xavier Tyrone,262.0
545,Avila,Alexander Thomas,281.0
546,Avila,Roberto Francisco,245.0
547,Avilan,Luis Armando,299.0
548,Aviles,Michael Anthony,275.0
549,Aviles,Ramon Antonio,224.0
550,Avrea,James Epherium,248.0
551,Axelrod,Dylan Davis Haines,265.0
552,Axford,John Berton,297.0
553,Ayala,Benigno,258.0
554,Ayala,Robert Joseph,264.0
555,Ayala,Luis Ignacio,279.0
556,Aybar,Erick Johan,265.0
557,Aybar,Manuel Antonio,238.0
558,Aybar,Willy Del Jesus,276.0
559,Aydelott,Jacob Stuart,252.0
560,Ayers,William Oscar,260.0
561,Ayers,Yancey Wyatt,258.0
562,Aylward,Richard John,262.0
563,Ayrault,Robert Cunningham,306.0
564,Ayrault,Joseph Allen,265.0
565,Azcue,Jose Joaquin,262.0
566,Azocar,Oscar Gregorio,243.0
567,Babb,Charles Amos,235.0
568,Babcock,Robert Ernest,287.0
569,Babe,Loren Rolland,250.0
570,Babich,John Charles,258.0
571,Babington,Charles Percy,242.0
572,Babitt,Mack Neal,242.0
573,Backe,Brandon Allen,254.0
574,Backman,Lester John,267.0
575,Backman,Walter Wayne,229.0
576,Bacon,Edgar Suter,
577,Bacsik,Michael James,254.0
578,Bacsik,Michael Joseph,299.0
579,Baczewski,Frederic John,259.0
580,Badenhop,Burke Heinrich,282.0
581,Bader,Arthur Herman,240.0
582,Bader,Lore Verne,247.0
583,Badgro,Morris Hiram,262.0
584,Baecht,Edward Joseph,270.0
585,Baek,Cha-Seung,266.0
586,Baerga,Carlos Obed,236.0
587,Baez,Benito,232.0
588,Baez,Danys G.,300.0
589,Baez,Ednel Javier,262.0
590,Baez,Jose Antonio,228.0
591,Baez,Kevin Richard,232.0
592,Baez,Pedro Alberys,307.0
593,Bagby,James Charles Jacob,242.0
594,Bagby,James Charles Jacob,244.0
595,Bagwell,William Mallory,248.0
596,Bagwell,Jeffrey Robert,267.0
597,Bahnsen,Stanley Raymond,259.0
598,Bahr,Edson Garfield,245.0
599,Bahret,Franklin F.,257.0
600,Baichley,Grover Cleveland,233.0
601,Bailey,Andrew Scott,315.0
602,Bailey,William F.,236.0
603,Bailey,Harry Lewis,240.0
604,Bailey,Robert Sherwood,253.0
605,Bailey,Philip Cory,267.0
606,Bailey,Lonas Edgar,279.0
607,Bailey,Frederick Middleton,221.0
608,Bailey,Arthur Eugene,228.0
609,Bailey,Harvey Francis,232.0
610,Bailey,Howard Lee,267.0
611,Bailey,David Dewitt,301.0
612,Bailey,Jeffrey Todd,274.0
613,Bailey,James Hopkins,284.0
614,Bailey,Linwood Clifton,257.0
615,Bailey,John Mark,272.0
616,Bailey,Charles Roger,253.0
617,Bailes,Scott Alan,244.0
618,Bailey,Steven John,267.0
619,Bailey,Abraham Lincoln,256.0
620,Bailor,Robert Michael,241.0
621,Baines,Harold Douglas,249.0
622,Bain,Herbert Loren,262.0
623,Baird,Albert Wells,229.0
624,Baird,Robert Allen,271.0
625,Baird,Howard Douglas,217.0
626,Bair,Charles Douglas,242.0
627,Baisley,Jeffrey Scot,300.0
628,Bajenaru,Jeffrey Michael,263.0
629,Bakley,Edward Enoch,238.0
630,Bakenhaster,David Lee,238.0
631,Baker,Albert Jones,241.0
632,Baker,William Presley,272.0
633,Baker,Charles,250.0
634,Baker,Charles Arthur,204.0
635,Baker,Charles Joseph,251.0
636,Baker,David Glenn,257.0
637,Baker,Delmer David,247.0
638,Baker,Douglas Lee,234.0
639,Baker,Johnnie B.,257.0
640,Baker,Earnest Gould,230.0
641,Baker,Floyd Wilton,229.0
642,Baker,John Franklin,244.0
643,Baker,Frank,250.0
644,Baker,Frank Watts,252.0
645,Baker,George F.,233.0
646,Baker,Eugene Walter,243.0
647,Baker,Howard Francis,246.0
648,Baker,Jack Edward,302.0
649,Baker,Jesse Ormond,259.0
650,Baker,Jesse,204.0
651,Baker,Jeffrey Glen,294.0
652,Baker,John David,288.0
653,Baker,Kirtley,229.0
654,Baker,Neal Vernon,248.0
655,Baker,Norman Leslie,
656,Baker,Philip,220.0
657,Baker,Scott,249.0
658,Baker,Timothy Scott,291.0
659,Baker,Steven Byrne,257.0
660,Baker,Thomas Calvin,253.0
661,Baker,Thomas Henry,267.0
662,Baker,Trace Lee,253.0
663,Bako,Gabor Paul,279.0
664,Balas,Mitchell Francis,267.0
665,Balaz,John Lawrence,255.0
666,Balboni,Stephen Charles,300.0
667,Balcena,Robert Rudolph,227.0
668,Baldelli,Rocco Dan,266.0
669,Baldschun,Jack Edward,248.0
670,Baldwin,Robert Harvey,247.0
